Pos,Region,Poblacion,Superficie,Fecha,Nuevos.Sintomaticos,Nuevos.Asintomaticos,Nuevos.No.Notificados,Nuevos.Confirmados,Tasa.Incidencia,Casos.Confirmados,Nuevos.Fallecidos,Casos.Fallecidos,Letalidad,Activos.Confirmados,Activos.Probables,Probables.Acumulados,Recuperados.Confirmados,Fecha.Primer.Contagiado,Periodo.Infeccioso,Pacientes.UCI,Examenes.PCR,Examenes.PCR.Acumulados,Tasa.Positividad,I.Movilidad,Residencias.Sanitarias,Cupos.Residencias.Sanitarias,Usuarios.Residencias.Sanitarias,Vacunados.Primera.Dosis,Vacunados.Segunda.Dosis,Vacunados.Tercera.Dosis,Vacunados.Cuarta.Dosis,Vacunados.Unica.Dosis
1,Arica y Parinacota,252110,16873,2022-04-12,8,10,0,18,7,13974058942525,55163,0,807,1,46293711364502,218,0,3439,54098,2020-03-19,755,1,330,626264,5,45454545454545,0,1,24,8,223490,213447,164954,27865,10223
2,Tarapaca,382773,42225,2022-04-12,13,2,3,18,4,70252604023795,79251,0,1084,1,36780608446581,101,0,10393,78042,2020-03-23,751,3,1333,899236,1,3503375843961,0,2,147,37,342073,321990,247025,33219,18960
3,Antofagasta,691854,126049,2022-04-12,11,7,1,19,2,74624414977727,121981,0,1747,1,43219025913872,335,0,6821,119873,2020-03-14,760,16,1703,1625888,1,11567821491486,0,2,87,15,629230,608127,484595,70004,21121
4,Atacama,314709,75176,2022-04-12,17,3,2,22,6,99058495308364,65317,0,577,0,883384111333956,233,0,1744,64534,2020-03-14,760,3,159,720400,13,8364779874214,0,1,30,5,300534,289780,226523,38025,7369
5,Coquimbo,836096,40579,2022-04-12,52,5,16,73,8,73105480710349,125102,0,1656,1,3237198446068,473,0,9382,122989,2020-03-19,755,13,556,1094420,13,1294964028777,0,1,95,18,773523,751290,600334,109813,24165
6,Valparaiso,1960170,16396,2022-04-12,121,10,28,159,8,11154134590367,302106,0,5529,1,83015233063891,1182,0,50199,295800,2020-03-16,758,42,1584,2638859,10,0378787878788,0,1,204,18,1823317,1774544,1452092,342525,51447
7,Metropolitana,8125072,15403,2022-04-12,334,84,263,681,8,38146418887119,1343314,12,28114,2,09288371892201,5401,5,161567,1311415,2020-03-04,770,214,13390,12492756,5,08588498879761,0,3,526,75,6817319,6637916,5488419,1176960,225747
8,OHiggins,991063,16387,2022-04-12,35,8,6,49,4,94418619199789,148485,0,2488,1,67559012694885,543,0,14802,145623,2020-03-19,755,12,359,1175263,13,6490250696379,0,1,24,7,954046,930814,760402,155795,23348
9,Maule,1131939,30296,2022-04-12,75,6,5,86,7,5975825552437,237136,0,2866,1,20858916402402,772,1,10644,233504,2020-03-03,771,24,484,1783155,17,7685950413223,0,4,291,55,1066341,1040109,856704,173520,31169
10,Nuble,511551,13178,2022-04-12,40,6,4,50,9,77419651217572,99183,0,1083,1,09192099452527,383,0,10180,97684,2020-03-12,762,9,354,790235,14,1242937853107,0,3,88,14,495319,485647,405790,87966,11284
